Date,Bar Name,Alcohol Type,Brand Name,Forecasted_Demand,Actual_Demand
2023-10-21,Anderson's Bar,Beer,Budweiser,96.06090320649979,0.0
2023-10-26,Anderson's Bar,Beer,Budweiser,80.92990709621418,0.0
2023-11-03,Anderson's Bar,Beer,Budweiser,73.9246134592296,0.0
2023-11-15,Anderson's Bar,Beer,Budweiser,71.47367651751702,0.0
2023-11-29,Anderson's Bar,Beer,Budweiser,98.14321471325346,0.0
2023-12-01,Anderson's Bar,Beer,Budweiser,91.69068789685474,0.0
2023-12-03,Anderson's Bar,Beer,Budweiser,86.31762956344537,0.0
2023-12-18,Anderson's Bar,Beer,Budweiser,158.13015500696542,0.0
2023-12-24,Anderson's Bar,Beer,Budweiser,148.22026263892008,0.0
2023-12-25,Anderson's Bar,Beer,Budweiser,155.7343333268418,0.0
2023-10-16,Anderson's Bar,Beer,Coors,342.34989720620524,357.5
2023-11-04,Anderson's Bar,Beer,Coors,328.6866977350336,152.52
2023-11-08,Anderson's Bar,Beer,Coors,328.5378444520684,225.19
2023-11-09,Anderson's Bar,Beer,Coors,337.6385370701606,461.74
2023-12-05,Anderson's Bar,Beer,Coors,347.408828781612,431.99
2023-12-14,Anderson's Bar,Beer,Coors,334.20842791292165,553.66
2023-12-16,Anderson's Bar,Beer,Coors,411.59997743060393,518.9
2023-12-17,Anderson's Bar,Beer,Coors,360.2457238372333,335.57
2023-12-20,Anderson's Bar,Beer,Coors,335.24988825936254,399.73
2023-12-21,Anderson's Bar,Beer,Coors,345.81776442658025,321.06
2023-10-23,Anderson's Bar,Beer,Heineken,99.01786677183824,0.0
2023-10-25,Anderson's Bar,Beer,Heineken,83.05839287040135,0.0
2023-10-27,Anderson's Bar,Beer,Heineken,95.64720299332208,0.0
2023-10-28,Anderson's Bar,Beer,Heineken,105.22436266235736,543.34
2023-10-31,Anderson's Bar,Beer,Heineken,360.21453279329427,470.51
2023-11-14,Anderson's Bar,Beer,Heineken,111.4089310341751,0.0
2023-11-16,Anderson's Bar,Beer,Heineken,75.71936689973731,0.0
2023-11-21,Anderson's Bar,Beer,Heineken,107.40392871157967,0.0
2023-11-28,Anderson's Bar,Beer,Heineken,114.25440960746843,0.0
2023-12-06,Anderson's Bar,Beer,Heineken,90.07794345177365,0.0
2023-12-07,Anderson's Bar,Beer,Heineken,90.07794345177365,126.54
2023-12-08,Anderson's Bar,Beer,Heineken,364.71832912379415,420.5
2023-12-09,Anderson's Bar,Beer,Heineken,56.42954408051344,0.0
2023-12-10,Anderson's Bar,Beer,Heineken,55.70745954940974,0.0
2023-12-12,Anderson's Bar,Beer,Heineken,73.54857297210381,380.92
2023-12-13,Anderson's Bar,Beer,Heineken,374.45074193185417,581.16
2023-12-23,Anderson's Bar,Beer,Heineken,361.4720929273132,385.5
2023-10-19,Anderson's Bar,Beer,Miller,243.9280450568164,204.35
2023-11-02,Anderson's Bar,Beer,Miller,185.77622673798135,134.19
2023-11-12,Anderson's Bar,Beer,Miller,131.24946649378518,46.23
2023-11-18,Anderson's Bar,Beer,Miller,90.2035299781995,0.0
2023-11-19,Anderson's Bar,Beer,Miller,97.38747047102137,0.0
2023-11-23,Anderson's Bar,Beer,Miller,364.26720243545884,828.93
2023-11-26,Anderson's Bar,Beer,Miller,326.285041854308,421.43
2023-11-30,Anderson's Bar,Beer,Miller,351.9444028095032,389.43
2023-12-11,Anderson's Bar,Beer,Miller,136.92156475416198,28.72
2023-12-22,Anderson's Bar,Beer,Miller,115.8403422520597,0.0
2023-10-25,Anderson's Bar,Rum,Bacardi,337.6816613470251,419.47
2023-10-27,Anderson's Bar,Rum,Bacardi,344.2555487980535,462.03
2023-11-04,Anderson's Bar,Rum,Bacardi,71.08993878927878,0.0
2023-11-22,Anderson's Bar,Rum,Bacardi,102.14702507405106,0.0
2023-11-26,Anderson's Bar,Rum,Bacardi,93.19616384245757,0.0
2023-11-28,Anderson's Bar,Rum,Bacardi,110.49674092544544,447.39
2023-11-30,Anderson's Bar,Rum,Bacardi,343.22290007728645,253.14
2023-12-03,Anderson's Bar,Rum,Bacardi,373.8955157398316,385.4
2023-12-07,Anderson's Bar,Rum,Bacardi,358.52028112290617,323.19
2023-12-10,Anderson's Bar,Rum,Bacardi,391.6003558272278,517.0
2023-12-23,Anderson's Bar,Rum,Bacardi,337.10384733556054,319.29
2023-12-27,Anderson's Bar,Rum,Bacardi,314.9062617138433,475.96
2023-12-28,Anderson's Bar,Rum,Bacardi,328.3663824786366,502.15
2023-12-29,Anderson's Bar,Rum,Bacardi,303.90126967509264,498.25
2023-10-19,Anderson's Bar,Rum,Captain Morgan,372.13410988052954,221.9
2023-10-20,Anderson's Bar,Rum,Captain Morgan,374.3925706175406,502.89
2023-10-28,Anderson's Bar,Rum,Captain Morgan,369.675676027527,374.87
2023-10-31,Anderson's Bar,Rum,Captain Morgan,358.41146557358735,222.58
2023-11-03,Anderson's Bar,Rum,Captain Morgan,353.7661647297367,479.39
2023-11-05,Anderson's Bar,Rum,Captain Morgan,376.10418633063364,269.92
2023-11-07,Anderson's Bar,Rum,Captain Morgan,365.0409134650462,459.83
2023-11-08,Anderson's Bar,Rum,Captain Morgan,370.1569926822662,120.09
2023-11-18,Anderson's Bar,Rum,Captain Morgan,347.14968557899675,164.6
2023-11-19,Anderson's Bar,Rum,Captain Morgan,331.8946385169367,219.73
2023-11-21,Anderson's Bar,Rum,Captain Morgan,341.8162424967703,138.81
2023-11-24,Anderson's Bar,Rum,Captain Morgan,330.9592268884571,113.21
2023-12-01,Anderson's Bar,Rum,Captain Morgan,414.6425435593587,579.33
2023-12-09,Anderson's Bar,Rum,Captain Morgan,344.6845811309845,245.76
2023-12-11,Anderson's Bar,Rum,Captain Morgan,341.68265240441485,246.17
2023-12-13,Anderson's Bar,Rum,Captain Morgan,341.80034286609975,256.96
2023-12-15,Anderson's Bar,Rum,Captain Morgan,334.38461500537096,291.35
2023-12-18,Anderson's Bar,Rum,Captain Morgan,338.398246384337,278.88
2023-10-17,Anderson's Bar,Rum,Malibu,304.1473341132016,279.02
2023-10-18,Anderson's Bar,Rum,Malibu,348.44060273499394,506.65
2023-10-23,Anderson's Bar,Rum,Malibu,361.7500021811602,471.11
2023-10-30,Anderson's Bar,Rum,Malibu,262.2255877013501,289.48
2023-11-01,Anderson's Bar,Rum,Malibu,125.9771316746605,85.65
2023-11-06,Anderson's Bar,Rum,Malibu,85.47063571071172,0.0
2023-11-10,Anderson's Bar,Rum,Malibu,72.24619656158484,0.0
2023-11-12,Anderson's Bar,Rum,Malibu,92.92675456797154,0.0
2023-11-17,Anderson's Bar,Rum,Malibu,86.23152787517598,0.0
2023-11-23,Anderson's Bar,Rum,Malibu,103.20434226779255,175.05
2023-10-19,Anderson's Bar,Vodka,Absolut,344.8238093917058,174.39
2023-10-24,Anderson's Bar,Vodka,Absolut,341.2448286403379,401.81
2023-10-31,Anderson's Bar,Vodka,Absolut,341.60042354132577,319.64
2023-11-05,Anderson's Bar,Vodka,Absolut,343.2487450907942,248.98
2023-11-07,Anderson's Bar,Vodka,Absolut,342.46058758492575,445.86
2023-11-10,Anderson's Bar,Vodka,Absolut,345.8230780467784,517.2
2023-11-17,Anderson's Bar,Vodka,Absolut,338.94944574300524,139.16
2023-11-24,Anderson's Bar,Vodka,Absolut,338.1716336814103,480.21
2023-12-06,Anderson's Bar,Vodka,Absolut,341.21857955540344,504.45
2023-12-07,Anderson's Bar,Vodka,Absolut,293.7268227831902,130.5
2023-12-10,Anderson's Bar,Vodka,Absolut,313.34704978823567,160.78
2023-12-16,Anderson's Bar,Vodka,Absolut,283.22715970893864,186.47
2023-12-18,Anderson's Bar,Vodka,Absolut,111.87720819764984,0.0
2023-10-22,Anderson's Bar,Vodka,Grey Goose,350.85885898165486,443.4
2023-10-26,Anderson's Bar,Vodka,Grey Goose,371.4848444301148,552.25
2023-11-08,Anderson's Bar,Vodka,Grey Goose,343.96546740156657,257.42
2023-11-11,Anderson's Bar,Vodka,Grey Goose,341.6677032982879,332.37
2023-11-12,Anderson's Bar,Vodka,Grey Goose,339.8367566185174,370.98
2023-11-29,Anderson's Bar,Vodka,Grey Goose,343.8386059550607,214.98
2023-12-02,Anderson's Bar,Vodka,Grey Goose,331.37392466838423,137.56
2023-12-04,Anderson's Bar,Vodka,Grey Goose,313.8761985954116,314.19
2023-12-17,Anderson's Bar,Vodka,Grey Goose,116.8381352819141,386.2
2023-12-21,Anderson's Bar,Vodka,Grey Goose,150.4026792941195,154.7
2023-12-27,Anderson's Bar,Vodka,Grey Goose,76.21013673923221,0.0
2023-10-16,Anderson's Bar,Vodka,Smirnoff,334.6996039430055,282.41
2023-10-23,Anderson's Bar,Vodka,Smirnoff,344.83637487164486,230.14
2023-10-28,Anderson's Bar,Vodka,Smirnoff,371.2098916696999,572.05
2023-11-04,Anderson's Bar,Vodka,Smirnoff,353.71792242152947,584.73
2023-11-19,Anderson's Bar,Vodka,Smirnoff,329.1421528011897,218.43
2023-11-20,Anderson's Bar,Vodka,Smirnoff,343.60108552159204,516.47
2023-11-25,Anderson's Bar,Vodka,Smirnoff,364.2395181581981,286.26
2023-11-27,Anderson's Bar,Vodka,Smirnoff,348.68194641819935,451.28
2023-11-30,Anderson's Bar,Vodka,Smirnoff,379.7565645605191,1069.03
2023-12-05,Anderson's Bar,Vodka,Smirnoff,366.029431644846,401.37
2023-12-08,Anderson's Bar,Vodka,Smirnoff,335.8961522001496,169.75
2023-12-09,Anderson's Bar,Vodka,Smirnoff,361.4728455307086,266.69
2023-12-23,Anderson's Bar,Vodka,Smirnoff,336.83314256783973,326.93
2023-10-18,Anderson's Bar,Whiskey,Jack Daniels,371.36437776417193,528.61
2023-10-28,Anderson's Bar,Whiskey,Jack Daniels,343.2260760526567,502.84
2023-10-29,Anderson's Bar,Whiskey,Jack Daniels,345.6858262442259,539.27
2023-10-30,Anderson's Bar,Whiskey,Jack Daniels,355.273740563357,149.88
2023-11-03,Anderson's Bar,Whiskey,Jack Daniels,343.41300974769894,257.63
2023-11-08,Anderson's Bar,Whiskey,Jack Daniels,353.99169102163637,356.22
2023-11-17,Anderson's Bar,Whiskey,Jack Daniels,337.4090045164249,180.82
2023-11-21,Anderson's Bar,Whiskey,Jack Daniels,498.61535963682655,987.04
2023-11-26,Anderson's Bar,Whiskey,Jack Daniels,335.2357300362777,134.89
2023-11-28,Anderson's Bar,Whiskey,Jack Daniels,363.67242681690766,454.75
2023-12-02,Anderson's Bar,Whiskey,Jack Daniels,357.6996470513744,213.76
2023-12-07,Anderson's Bar,Whiskey,Jack Daniels,357.11874396562035,286.67
2023-12-10,Anderson's Bar,Whiskey,Jack Daniels,343.46062058031106,296.29
2023-12-15,Anderson's Bar,Whiskey,Jack Daniels,391.01631482342316,409.74
2023-12-20,Anderson's Bar,Whiskey,Jack Daniels,363.6118657670047,210.97
2023-12-22,Anderson's Bar,Whiskey,Jack Daniels,342.6663712800671,0.0
2023-12-25,Anderson's Bar,Whiskey,Jack Daniels,324.4486387503006,197.6
2023-10-23,Anderson's Bar,Whiskey,Jameson,204.99356600714205,134.24
2023-10-26,Anderson's Bar,Whiskey,Jameson,363.9530679471926,482.49
2023-11-04,Anderson's Bar,Whiskey,Jameson,64.7659529110711,0.0
2023-11-10,Anderson's Bar,Whiskey,Jameson,72.32735852146247,0.0
2023-11-11,Anderson's Bar,Whiskey,Jameson,145.3629219849817,195.42
